PRODUCT_ID;CATEGORY;POPULARITY
1;9;231
2;83;436
3;49;470
4;154;411
5;5;250
6;98;618
7;45;659
8;163;429
9;28;232
10;88;243
11;174;654
12;140;502
13;92;616
14;65;249
15;146;226
16;144;229
17;149;234
18;20;449
19;176;423
20;29;660
21;191;251
22;191;671
23;190;676
24;27;429
25;83;858
26;7;656
27;72;218
28;197;428
29;141;593
30;196;466
31;124;440
32;28;242
33;13;1089
34;162;419
35;91;431
36;12;421
37;124;225
38;38;477
39;97;436
40;98;426
41;180;230
42;22;439
43;84;220
44;126;247
45;176;259
46;40;407
47;49;426
48;70;201
49;152;222
50;79;796
51;29;222
52;42;1285
53;86;440
54;196;630
55;82;409
56;154;213
57;76;478
58;156;446
59;170;235
60;87;229
61;24;434
62;65;233
63;141;641
64;76;425
65;162;232
66;19;252
67;130;221
68;195;607
69;40;233
70;17;228
71;103;404
72;4;424
73;120;242
74;134;443
75;135;426
76;29;253
77;184;435
78;77;601
79;59;216
80;198;207
81;11;428
82;157;434
83;178;212
84;123;392
85;8;430
86;37;225
87;165;445
88;160;212
89;134;239
90;39;689
91;108;448
92;55;224
93;107;418
94;182;197
95;180;443
96;143;418
97;61;649
98;167;219
99;117;654
100;2;668
101;143;405
102;95;436
103;131;430
104;152;234
105;75;225
106;86;390
107;45;672
108;161;426
109;34;427
110;17;818
111;29;457
112;165;660
113;190;205
114;114;641
115;79;413
116;29;213
117;198;230
118;93;432
119;29;625
120;182;218
121;137;255
122;31;242
123;2;477
124;193;236
125;21;432
126;165;675
127;70;431
128;28;428
129;26;246
130;178;232
131;60;423
132;113;214
133;106;411
134;76;218
135;11;247
136;180;225
137;40;635
138;180;881
139;139;243
140;134;682
141;114;615
142;127;393
143;115;227
144;186;896
145;13;223
146;32;248
147;13;465
148;26;408
149;23;197
150;108;402
151;189;626
152;158;248
153;110;248
154;22;461
155;141;478
156;116;239
157;0;643
158;118;616
159;175;465
160;122;407
161;18;222
162;143;690
163;118;613
164;33;842
165;119;466
166;41;636
167;173;413
168;15;888
169;82;410
170;16;442
171;120;428
172;10;232
173;87;226
174;117;214
175;193;447
176;195;243
177;60;236
178;8;440
179;50;230
180;19;415
181;81;405
182;53;406
183;149;644
184;124;247
185;80;602
186;52;232
187;105;239
188;70;216
189;22;231
190;115;452
191;135;672
192;67;433
193;128;1034
194;50;226
195;144;219
196;30;203
197;168;220
198;198;227
199;156;246
200;63;226
201;123;607
202;149;426
203;54;209
204;175;458
205;32;222
206;8;228
207;71;428
208;196;233
209;106;217
210;147;428
211;83;626
212;84;915
213;130;219
214;56;679
215;14;212
216;141;222
217;126;628
218;63;652
219;23;448
220;38;215
221;0;231
222;117;628
223;165;845
224;147;468
225;54;653
226;122;461
227;129;473
228;27;621
229;167;225
230;163;613
231;181;241
232;72;638
233;11;454
234;70;703
235;181;225
236;106;698
237;172;410
238;44;454
239;54;437
240;50;234
241;35;608
242;126;213
243;31;649
244;35;208
245;44;474
246;67;212
247;72;229
248;127;433
249;133;662
250;127;208
251;97;429
252;36;455
253;87;453
254;3;210
255;51;256
256;91;607
257;76;224
258;89;232
259;23;430
260;15;219
261;133;607
262;177;647
263;170;802
264;124;213
265;97;441
266;31;463
267;108;227
268;90;460
269;18;412
270;64;230
271;44;434
272;46;261
273;77;626
274;100;240
275;91;559
276;194;479
277;114;222
278;53;582
279;145;646
280;113;465
281;163;213
282;186;225
283;74;216
284;83;241
285;45;239
286;198;439
287;35;218
288;151;429
289;16;214
290;1;234
291;34;643
292;132;211
293;2;442
294;88;402
295;61;224
296;192;422
297;40;484
298;43;673
299;180;218
300;192;803
301;75;458
302;23;219
303;116;246
304;82;247
305;79;424
306;50;203
307;104;464
308;106;662
309;146;659
310;179;648
311;87;605
312;137;220
313;158;636
314;162;239
315;91;655
316;34;453
317;54;428
318;31;238
319;114;231
320;40;222
321;162;235
322;186;440
323;186;821
324;40;876
325;50;642
326;73;240
327;136;624
328;100;425
329;84;232
330;51;833
331;178;411
332;74;236
333;32;385
334;44;408
335;46;474
336;53;385
337;5;632
338;66;418
339;139;232
340;47;203
341;128;235
342;25;444
343;122;422
344;78;440
345;146;402
346;100;421
347;11;205
348;148;247
349;63;419
350;53;669
351;181;671
352;184;446
353;64;590
354;39;227
355;183;646
356;25;644
357;154;230
358;86;741
359;194;203
360;191;913
361;94;458
362;8;227
363;181;431
364;74;219
365;77;227
366;129;386
367;18;413
368;103;216
369;118;452
370;188;1079
371;6;430
372;198;399
373;94;425
374;34;456
375;88;641
376;12;632
377;128;1063
378;153;436
379;69;216
380;90;410
381;136;457
382;48;451
383;169;445
384;168;444
385;48;437
386;77;654
387;10;196
388;43;486
389;76;238
390;168;643
391;138;581
392;155;401
393;74;773
394;169;232
395;0;671
396;17;641
397;33;411
398;197;441
399;11;649
400;113;458
401;145;213
402;68;438
403;153;217
404;77;446
405;33;599
406;61;221
407;148;399
408;1;463
409;120;443
410;156;418
411;150;438
412;168;424
413;122;485
414;91;212
415;78;236
416;34;455
417;188;445
418;91;385
419;30;253
420;7;413
421;54;247
422;36;430
423;122;419
424;25;460
425;141;471
426;72;422
427;4;443
428;132;1215
429;144;630
430;27;421
431;120;475
432;15;411
433;195;237
434;135;229
435;163;420
436;85;230
437;179;434
438;33;602
439;21;676
440;196;1057
441;120;224
442;48;436
443;64;642
444;172;633
445;122;232
446;153;218
447;182;204
448;158;227
449;98;443
450;11;443
451;153;249
452;85;461
453;153;222
454;197;426
455;0;429
456;172;437
457;135;479
458;165;616
459;43;426
460;121;253
461;183;444
462;89;219
463;100;226
464;107;407
465;97;250
466;121;446
467;171;612
468;100;220
469;196;229
470;193;468
471;142;664
472;182;620
473;153;443
474;78;609
475;69;221
476;156;232
477;18;660
478;36;240
479;51;457
480;135;456
481;94;229
482;173;218
483;197;230
484;65;215
485;143;239
486;154;259
487;172;224
488;108;437
489;151;641
490;97;985
491;123;236
492;130;420
493;79;431
494;54;603
495;139;226
496;169;626
497;129;227
498;21;229
499;161;222
500;171;564
501;147;427
502;33;206
503;73;213
504;59;668
505;99;650
506;40;215
507;26;647
508;106;460
509;189;233
510;0;233
511;135;259
512;22;816
513;168;251
514;52;461
515;168;259
516;102;636
517;139;479
518;72;809
519;170;226
520;175;619
521;113;583
522;187;783
523;42;845
524;24;237
525;157;418
526;41;436
527;155;231
528;62;444
529;41;426
530;61;453
531;125;650
532;19;239
533;70;213
534;192;621
535;110;427
536;47;227
537;143;227
538;142;422
539;18;250
540;174;874
541;64;415
542;60;253
543;63;203
544;111;651
545;20;261
546;189;224
547;156;625
548;4;217
549;197;226
550;39;644
551;30;222
552;2;251
553;141;236
554;132;214
555;35;444
556;11;646
557;85;853
558;63;267
559;135;456
560;105;212
561;152;423
562;26;456
563;139;622
564;19;473
565;52;454
566;183;429
567;7;654
568;128;221
569;153;611
570;58;430
571;78;218
572;87;252
573;187;1013
574;119;422
575;58;848
576;165;230
577;92;666
578;87;473
579;156;637
580;189;422
581;154;418
582;135;662
583;22;233
584;64;767
585;168;222
586;137;219
587;32;232
588;2;472
589;168;236
590;121;1079
591;126;198
592;99;246
593;47;233
594;42;228
595;120;247
596;116;414
597;1;643
598;2;823
599;155;258
600;16;238
601;161;426
602;121;873
603;140;209
604;65;203
605;10;402
606;7;442
607;145;250
608;58;466
609;56;259
610;7;234
611;18;219
612;99;238
613;162;674
614;2;429
615;129;230
616;135;456
617;166;230
618;194;232
619;21;229
620;83;403
621;11;214
622;142;228
623;166;640
624;42;414
625;18;458
626;40;467
627;141;433
628;53;212
629;37;654
630;32;219
631;101;419
632;15;448
633;79;204
634;5;631
635;179;244
636;195;224
637;166;418
638;190;277
639;183;239
640;90;823
641;18;231
642;178;200
643;152;451
644;115;886
645;164;219
646;2;219
647;87;200
648;189;646
649;130;218
650;96;236
651;178;221
652;82;221
653;2;445
654;70;213
655;105;204
656;0;427
657;36;224
658;26;467
659;53;428
660;102;241
661;193;612
662;151;823
663;9;238
664;78;659
665;38;214
666;57;235
667;24;221
668;132;225
669;75;447
670;194;646
671;35;438
672;112;208
673;163;233
674;123;465
675;185;398
676;101;433
677;124;416
678;168;216
679;161;635
680;12;424
681;114;462
682;117;639
683;97;439
684;58;644
685;103;226
686;41;929
687;16;231
688;153;437
689;129;643
690;104;458
691;108;447
692;123;251
693;183;449
694;95;195
695;86;447
696;188;432
697;152;234
698;25;200
699;191;216
700;114;212
701;62;435
702;104;425
703;152;248
704;1;242
705;157;245
706;110;669
707;152;467
708;129;563
709;39;219
710;150;400
711;8;233
712;112;246
713;195;240
714;178;209
715;27;561
716;178;624
717;7;415
718;159;434
719;100;860
720;193;241
721;52;249
722;144;223
723;109;454
724;197;244
725;81;230
726;29;248
727;165;453
728;25;473
729;12;401
730;149;408
731;6;639
732;0;440
733;16;886
734;76;435
735;105;226
736;107;239
737;182;417
738;128;267
739;187;428
740;62;426
741;39;245
742;11;392
743;89;228
744;180;421
745;4;485
746;60;431
747;198;415
748;78;648
749;11;448
750;93;221
751;161;225
752;184;481
753;44;451
754;3;652
755;180;672
756;151;408
757;109;419
758;58;241
759;130;221
760;196;824
761;134;654
762;113;1124
763;133;629
764;33;221
765;57;250
766;35;241
767;111;409
768;179;637
769;186;242
770;129;437
771;173;239
772;179;440
773;114;427
774;189;447
775;23;247
776;16;418
777;38;215
778;47;241
779;71;610
780;143;266
781;13;678
782;31;602
783;137;233
784;183;640
785;138;207
786;128;396
787;42;396
788;156;649
789;168;610
790;163;231
791;143;451
792;39;433
793;68;438
794;55;234
795;174;203
796;21;197
797;17;239
798;115;719
799;130;231
800;115;411
801;118;434
802;190;828
803;155;249
804;47;242
805;144;227
806;8;220
807;134;410
808;77;464
809;69;244
810;35;660
811;43;206
812;32;218
813;124;819
814;46;693
815;185;231
816;199;433
817;118;223
818;94;214
819;62;432
820;172;239
821;150;215
822;135;425
823;60;670
824;79;623
825;147;637
826;108;623
827;141;632
828;188;228
829;176;421
830;157;236
831;120;822
832;11;421
833;87;900
834;56;852
835;12;227
836;105;444
837;160;227
838;146;263
839;151;202
840;86;431
841;142;806
842;84;431
843;76;457
844;29;250
845;63;230
846;34;451
847;189;235
848;196;1273
849;29;882
850;135;407
851;164;648
852;128;238
853;5;218
854;71;657
855;30;453
856;17;244
857;15;449
858;127;204
859;159;427
860;172;407
861;155;398
862;87;215
863;109;896
864;20;443
865;44;431
866;159;225
867;130;438
868;149;445
869;24;246
870;113;456
871;117;234
872;21;681
873;19;233
874;155;449
875;152;644
876;188;214
877;41;876
878;79;633
879;64;232
880;16;422
881;11;854
882;120;449
883;190;446
884;34;831
885;107;210
886;149;222
887;199;226
888;78;229
889;70;394
890;121;437
891;166;402
892;68;559
893;16;202
894;146;809
895;169;223
896;50;417
897;199;397
898;53;452
899;115;257
900;138;220
901;160;224
902;199;244
903;114;404
904;153;450
905;153;242
906;75;828
907;112;658
908;183;230
909;55;851
910;182;213
911;45;211
912;114;217
913;166;226
914;197;452
915;11;412
916;156;656
917;78;217
918;6;423
919;6;858
920;19;225
921;78;228
922;162;470
923;172;204
924;182;412
925;79;235
926;49;239
927;51;231
928;47;1051
929;187;217
930;52;226
931;82;244
932;178;439
933;59;448
934;145;243
935;66;212
936;20;250
937;81;582
938;37;799
939;163;231
940;147;219
941;25;469
942;78;251
943;162;848
944;8;487
945;71;398
946;140;241
947;156;435
948;104;214
949;141;448
950;158;207
951;55;223
952;33;217
953;185;232
954;157;691
955;148;369
956;103;234
957;145;883
958;187;249
959;2;247
960;164;248
961;31;632
962;12;425
963;15;456
964;106;213
965;8;633
966;42;224
967;34;623
968;44;224
969;100;619
970;38;675
971;107;245
972;54;428
973;95;628
974;25;216
975;186;678
976;11;639
977;27;421
978;157;224
979;110;414
980;159;245
981;66;251
982;106;224
983;127;415
984;63;1215
985;2;423
986;32;642
987;34;234
988;95;657
989;44;221
990;42;212
991;21;431
992;123;624
993;17;648
994;155;449
995;176;849
996;140;483
997;83;239
998;191;451
999;120;431
1000;58;865
1001;190;433
1002;49;253
1003;123;569
1004;118;240
1005;109;482
1006;64;226
1007;109;250
1008;191;439
1009;24;417
1010;162;653
1011;143;450
1012;178;428
1013;61;589
1014;84;401
1015;92;229
1016;50;246
1017;95;237
1018;86;1024
1019;112;444
1020;65;427
1021;63;624
1022;123;445
1023;83;243
1024;167;233
1025;117;635
1026;165;227
1027;25;558
1028;148;641
1029;165;640
1030;149;228
1031;33;638
1032;182;411
1033;6;635
1034;86;214
1035;81;423
1036;96;210
1037;63;241
1038;53;197
1039;166;431
1040;94;213
1041;185;225
1042;15;212
1043;8;232
1044;71;426
