ORDER;PRODUCT;QTY;STATION
ORD_1;PROD_395;2;5
ORD_1;PROD_400;9;4
ORD_1;PROD_6;1;5
ORD_1;PROD_62;1;5
ORD_1;PROD_290;4;5
ORD_1;PROD_124;5;1
ORD_1;PROD_139;1;3
ORD_1;PROD_22;3;4
ORD_1;PROD_398;6;2
ORD_1;PROD_19;5;1
ORD_1;PROD_387;4;3
ORD_1;PROD_97;6;3
ORD_1;PROD_282;3;1
ORD_1;PROD_232;3;1
ORD_2;PROD_213;3;5
ORD_2;PROD_434;3;5
ORD_2;PROD_201;2;1
ORD_2;PROD_262;4;1
ORD_2;PROD_327;9;3
ORD_2;PROD_306;9;3
ORD_2;PROD_19;4;5
ORD_3;PROD_176;1;5
ORD_3;PROD_477;5;5
ORD_3;PROD_214;3;3
ORD_3;PROD_143;7;2
ORD_3;PROD_362;1;1
ORD_3;PROD_480;5;3
ORD_3;PROD_279;9;1
ORD_3;PROD_166;9;5
ORD_3;PROD_307;6;5
ORD_3;PROD_73;5;3
ORD_3;PROD_109;5;2
ORD_4;PROD_30;4;3
ORD_4;PROD_413;2;5
ORD_4;PROD_404;3;1
ORD_4;PROD_357;6;3
ORD_4;PROD_206;2;5
ORD_4;PROD_260;5;4
ORD_4;PROD_429;3;2
ORD_4;PROD_283;4;4
ORD_4;PROD_257;3;3
ORD_4;PROD_482;4;3
ORD_4;PROD_382;7;2
ORD_4;PROD_130;7;1
ORD_4;PROD_480;3;5
ORD_5;PROD_177;5;1
ORD_5;PROD_397;3;4
ORD_5;PROD_384;4;5
ORD_5;PROD_337;6;3
ORD_5;PROD_420;9;3
ORD_5;PROD_155;6;1
ORD_5;PROD_110;9;3
ORD_5;PROD_369;4;1
ORD_5;PROD_230;7;2
ORD_5;PROD_495;4;3
ORD_5;PROD_64;4;3
ORD_6;PROD_90;2;5
ORD_6;PROD_404;6;2
ORD_6;PROD_284;9;3
ORD_6;PROD_463;3;5
ORD_6;PROD_215;6;4
ORD_6;PROD_465;9;1
ORD_6;PROD_62;4;2
ORD_6;PROD_368;3;4
ORD_6;PROD_57;7;1
ORD_6;PROD_65;4;3
ORD_6;PROD_464;6;4
ORD_6;PROD_403;4;1
ORD_6;PROD_234;8;1
ORD_6;PROD_422;9;2
ORD_6;PROD_258;4;1
ORD_7;PROD_73;7;3
ORD_7;PROD_113;7;1
ORD_7;PROD_323;8;1
ORD_7;PROD_203;2;5
ORD_7;PROD_259;5;1
ORD_7;PROD_180;3;1
ORD_7;PROD_339;8;3
ORD_7;PROD_186;9;2
ORD_7;PROD_350;7;5
ORD_7;PROD_107;9;4
ORD_7;PROD_210;1;1
ORD_7;PROD_194;4;4
ORD_7;PROD_172;6;5
ORD_7;PROD_219;9;3
ORD_7;PROD_208;7;4
ORD_8;PROD_379;4;2
ORD_8;PROD_425;1;3
ORD_8;PROD_445;5;3
ORD_8;PROD_26;7;2
ORD_8;PROD_319;4;1
ORD_8;PROD_251;2;2
ORD_8;PROD_13;7;1
ORD_8;PROD_287;1;2
ORD_9;PROD_476;4;2
ORD_9;PROD_292;2;2
ORD_9;PROD_198;6;1
ORD_9;PROD_18;7;1
ORD_9;PROD_186;7;2
ORD_9;PROD_483;8;3
ORD_10;PROD_190;3;4
ORD_10;PROD_349;8;4
ORD_10;PROD_138;2;3
ORD_10;PROD_442;4;5
ORD_10;PROD_277;2;1
ORD_10;PROD_300;6;1
ORD_10;PROD_389;9;2
ORD_10;PROD_39;2;1
ORD_10;PROD_184;1;4
ORD_10;PROD_312;8;3
ORD_10;PROD_48;6;1
ORD_10;PROD_53;3;2
ORD_10;PROD_205;3;4
ORD_11;PROD_401;7;3
ORD_11;PROD_492;8;2
ORD_11;PROD_497;6;3
ORD_11;PROD_497;6;1
ORD_11;PROD_14;9;1
ORD_11;PROD_268;7;1
ORD_11;PROD_41;1;5
ORD_11;PROD_263;7;5
ORD_11;PROD_116;3;3
ORD_11;PROD_487;2;5
ORD_11;PROD_26;6;3
ORD_11;PROD_115;4;1
ORD_11;PROD_259;5;4
ORD_11;PROD_306;5;1
