ORDER;PRODUCT;QTY;STATION
ORD_1;PROD_27;9;5
ORD_1;PROD_50;5;3
ORD_1;PROD_32;2;4
ORD_1;PROD_17;3;4
ORD_1;PROD_18;4;4
ORD_1;PROD_13;8;5
ORD_1;PROD_9;2;3
ORD_1;PROD_2;3;1
ORD_1;PROD_16;6;4
ORD_1;PROD_47;3;1
ORD_1;PROD_10;2;2
ORD_1;PROD_42;6;2
ORD_1;PROD_39;1;1
ORD_1;PROD_7;6;3
ORD_1;PROD_30;9;5
ORD_2;PROD_47;3;1
ORD_2;PROD_15;6;5
ORD_2;PROD_28;8;1
ORD_2;PROD_24;8;1
ORD_2;PROD_13;7;2
ORD_2;PROD_50;3;2
ORD_2;PROD_3;9;1
ORD_2;PROD_45;2;1
ORD_2;PROD_43;4;5
ORD_2;PROD_3;2;3
ORD_2;PROD_38;6;1
ORD_2;PROD_25;7;3
ORD_2;PROD_28;2;2
ORD_3;PROD_13;1;5
ORD_3;PROD_9;8;1
ORD_3;PROD_2;3;1
ORD_3;PROD_44;3;2
ORD_3;PROD_28;3;1
ORD_3;PROD_49;7;4
ORD_3;PROD_4;6;5
ORD_3;PROD_12;6;1
ORD_3;PROD_24;5;2
ORD_3;PROD_49;4;4
ORD_3;PROD_38;3;4
ORD_3;PROD_40;5;1
ORD_3;PROD_37;2;3
ORD_4;PROD_2;2;5
ORD_4;PROD_35;7;4
ORD_4;PROD_6;9;3
ORD_4;PROD_37;3;1
ORD_4;PROD_34;1;5
ORD_4;PROD_20;4;2
ORD_4;PROD_35;8;4
ORD_4;PROD_49;6;4
ORD_4;PROD_33;4;5
ORD_4;PROD_9;5;3
ORD_4;PROD_11;9;2
ORD_5;PROD_8;3;2
ORD_5;PROD_39;4;4
ORD_5;PROD_37;6;1
ORD_5;PROD_27;5;2
ORD_5;PROD_2;6;4
ORD_5;PROD_40;5;2
ORD_5;PROD_1;8;1
ORD_5;PROD_16;5;3
ORD_5;PROD_23;9;2
ORD_6;PROD_3;7;4
ORD_6;PROD_17;7;3
ORD_6;PROD_5;8;3
ORD_6;PROD_16;9;3
ORD_6;PROD_36;6;1
ORD_6;PROD_21;1;2
ORD_6;PROD_11;5;1
ORD_6;PROD_12;8;2
ORD_6;PROD_9;2;5
ORD_6;PROD_19;7;1
ORD_6;PROD_2;7;1
ORD_6;PROD_12;6;5
ORD_6;PROD_21;1;2
ORD_6;PROD_14;5;2
ORD_6;PROD_17;8;5
ORD_7;PROD_25;8;4
ORD_7;PROD_34;6;5
ORD_7;PROD_29;6;4
ORD_7;PROD_6;6;5
ORD_7;PROD_32;6;1
ORD_7;PROD_18;1;5
ORD_7;PROD_26;4;4
ORD_7;PROD_36;5;3
ORD_7;PROD_30;3;3
ORD_7;PROD_21;7;1
ORD_7;PROD_15;5;2
ORD_7;PROD_23;7;3
ORD_7;PROD_4;1;1
ORD_7;PROD_23;7;2
ORD_8;PROD_2;9;3
ORD_8;PROD_40;4;2
ORD_8;PROD_16;2;5
ORD_8;PROD_6;9;4
ORD_8;PROD_1;3;2
ORD_8;PROD_34;6;3
ORD_8;PROD_1;6;3
ORD_8;PROD_27;9;1
ORD_9;PROD_48;9;5
ORD_9;PROD_14;2;5
ORD_9;PROD_45;2;1
ORD_9;PROD_13;6;5
ORD_9;PROD_8;4;1
