ORDER;PRODUCT;QTY;STATION
ORD_1;PROD_41;3;5
ORD_1;PROD_1;8;4
ORD_1;PROD_30;6;1
ORD_1;PROD_26;7;4
ORD_1;PROD_5;3;2
ORD_2;PROD_12;1;3
ORD_2;PROD_15;1;3
ORD_2;PROD_6;8;3
ORD_2;PROD_24;2;4
ORD_2;PROD_3;6;4
ORD_2;PROD_49;6;2
ORD_2;PROD_19;3;1
ORD_2;PROD_7;8;4
ORD_2;PROD_37;1;3
ORD_2;PROD_5;6;2
ORD_2;PROD_25;3;1
ORD_2;PROD_24;2;4
ORD_3;PROD_29;3;2
ORD_3;PROD_30;5;1
ORD_3;PROD_50;3;1
ORD_3;PROD_14;4;5
ORD_3;PROD_1;6;4
ORD_3;PROD_23;3;4
ORD_3;PROD_21;1;2
ORD_3;PROD_11;7;3
ORD_3;PROD_22;3;2
ORD_3;PROD_29;4;4
ORD_3;PROD_33;4;2
ORD_3;PROD_29;5;1
ORD_3;PROD_36;5;3
ORD_3;PROD_46;2;5
ORD_3;PROD_50;7;4
ORD_4;PROD_27;6;5
ORD_4;PROD_41;5;3
ORD_4;PROD_16;9;3
ORD_4;PROD_27;6;3
ORD_4;PROD_12;7;4
ORD_5;PROD_16;7;2
ORD_5;PROD_27;3;4
ORD_5;PROD_2;9;5
ORD_5;PROD_36;7;1
ORD_5;PROD_1;8;2
ORD_5;PROD_50;9;2
ORD_5;PROD_23;5;1
ORD_5;PROD_33;5;5
ORD_6;PROD_30;9;1
ORD_6;PROD_13;9;5
ORD_6;PROD_38;5;1
ORD_6;PROD_36;5;1
ORD_6;PROD_9;7;4
ORD_6;PROD_33;5;4
ORD_6;PROD_5;1;5
ORD_6;PROD_46;9;1
ORD_6;PROD_50;4;4
ORD_7;PROD_19;2;3
ORD_7;PROD_3;8;2
ORD_7;PROD_28;1;4
ORD_7;PROD_38;4;4
ORD_7;PROD_29;6;4
ORD_7;PROD_42;7;1
ORD_7;PROD_38;6;1
ORD_7;PROD_41;5;4
ORD_7;PROD_12;5;2
ORD_7;PROD_18;2;4
ORD_7;PROD_21;3;3
ORD_8;PROD_10;7;3
ORD_8;PROD_5;2;5
ORD_8;PROD_4;8;4
ORD_8;PROD_35;2;4
ORD_8;PROD_16;2;1
ORD_8;PROD_27;4;1
ORD_8;PROD_6;4;4
ORD_8;PROD_24;4;5
ORD_8;PROD_8;3;3
ORD_8;PROD_36;9;3
ORD_8;PROD_4;9;2
ORD_8;PROD_37;9;4
ORD_8;PROD_8;8;3
ORD_8;PROD_10;3;2
ORD_9;PROD_12;3;5
ORD_9;PROD_47;1;5
ORD_9;PROD_6;5;5
ORD_9;PROD_23;5;1
ORD_9;PROD_30;3;4
ORD_9;PROD_13;7;2
ORD_9;PROD_38;1;4
ORD_9;PROD_9;4;2
ORD_9;PROD_12;4;4
ORD_9;PROD_20;7;5
ORD_10;PROD_19;4;1
ORD_10;PROD_3;2;3
ORD_10;PROD_28;4;4
ORD_10;PROD_27;9;5
ORD_10;PROD_41;5;3
ORD_10;PROD_32;9;1
ORD_10;PROD_39;8;1
ORD_10;PROD_32;2;1
ORD_10;PROD_8;2;2
ORD_10;PROD_32;5;5
ORD_10;PROD_32;4;3
ORD_10;PROD_11;4;2
ORD_11;PROD_25;7;3
ORD_11;PROD_6;7;1
ORD_11;PROD_5;1;3
ORD_11;PROD_48;4;4
ORD_11;PROD_39;3;1
ORD_12;PROD_29;1;2
ORD_12;PROD_30;9;1
ORD_12;PROD_50;6;5
ORD_12;PROD_14;2;5
ORD_12;PROD_1;4;1
ORD_13;PROD_37;6;2
ORD_13;PROD_12;9;5
ORD_13;PROD_28;3;2
ORD_13;PROD_3;3;5
ORD_13;PROD_49;8;5
ORD_14;PROD_6;2;3
ORD_14;PROD_24;6;4
ORD_14;PROD_2;9;3
